,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1024,"2,684","2,881","2,848","3,021","2,555","2,422","2,539","2,228","2,166","2,183","1,897","1,821","1,794","1,761","1,71","1,725","1,65","1,646","1,635","1,639","1,621","1,62","1,627","1,653","1,594","1,559","1,591","1,567","1,561","1,552"
2048,"2,436","2,586","2,578","2,401","2,224","2,07","1,83","1,609","1,498","1,406","1,322","1,243","1,222","1,209","1,165","1,151","1,125","1,108","1,085","1,108","1,079","1,021","1,083","1,056","1,05","1,02","1,005","1,038","1,004","1,045"
4096,"2,298","2,263","2,073","1,749","1,689","1,522","1,4","1,187","1,141","1,099","1,051","1,018","0,959","0,957","0,932","0,944","0,902","0,911","0,884","0,924","0,907","0,834","0,857","0,825","0,815","0,82","0,818","0,804","0,802","0,781"
8192,"2,261","2,147","1,964","1,708","1,481","1,526","1,352","1,275","1,177","1,137","1,072","0,995","1,01","0,944","0,954","0,976","0,905","0,934","0,892","0,878","0,875","0,865","0,831","0,835","0,832","0,799","0,906","0,941","0,823","0,815"
16384,"2,252","2,177","1,878","1,592","1,46","1,29","1,191","1,12","1,095","1,017","1,015","0,984","0,954","0,924","0,934","0,889","0,898","0,883","0,873","0,846","0,822","0,824","0,815","0,811","0,79","0,841","0,771","0,783","0,772","0,786"
32768,"2,256","1,939","1,774","1,512","1,228","1,166","1,084","1,044","0,982","0,971","0,98","0,915","0,907","0,905","0,937","0,873","0,856","0,896","0,87","0,834","0,825","0,839","0,807","0,824","0,782","0,83","0,829","0,769","0,775","0,778"
65536,"2,26","1,875","1,436","1,275","1,1","0,981","0,972","0,961","0,883","0,877","0,867","0,83","0,845","0,808","0,849","0,808","0,785","0,78","0,782","0,781","0,771","0,771","0,764","0,817","0,762","0,744","0,755","0,765","0,754","0,75"
131072,"2,213","1,601","1,286","1,073","0,929","0,907","0,838","0,808","0,784","0,791","0,767","0,755","0,743","0,736","0,721","0,717","0,705","0,719","0,728","0,707","0,708","0,692","0,726","0,707","0,707","0,706","0,69","0,695","0,67","0,68"
262144,"2,196","1,539","1,239","0,933","0,831","0,818","0,784","0,772","0,742","0,698","0,699","0,705","0,685","0,991","1,179","1,187","1,195","1,162","1,074","0,921","0,842","0,752","0,698","0,745","0,812","0,662","0,62","0,669","0,652","0,633"
524288,"2,184","1,512","1,179","0,883","0,797","0,799","0,779","0,73","0,697","0,701","0,701","0,687","0,656","0,649","0,646","0,662","0,697","0,739","0,65","0,648","0,657","0,673","0,701","0,673","0,649","0,682","0,65","0,678","0,721","0,676"
1048576,"2,203","1,522","1,165","0,858","0,769","0,768","0,748","0,71","0,675","0,652","0,661","0,623","0,655","0,648","0,63","0,629","0,65","0,638","0,644","0,656","0,625","0,637","0,65","0,603","0,652","0,639","0,617","0,628","0,646","0,638"
